SMILES,sars,mers
COCCn1c(=O)oc2ccc([N+](=O)[O-])cc21,-5.491,-5.889
COC(CN)c1ccc(F)cc1.Cl,-4.989,-5.366
CCC(NS(=O)(=O)c1ccc([N+](=O)[O-])cc1)c1ccc(Cl)cc1,-6.857,-6.859
Cl.NCC(=O)c1ccc(Cl)cc1,-4.899,-5.548
COc1cccc(CNC2CC2)c1,-4.799,-5.122
Cc1ccc(F)c(NC(=O)NCCSc2ccccc2)c1,-6.49,-7.395
Cl.FC(F)(F)CCNC1CCC1,-4.501,-5.433
CC(C)CCn1cc(C#N)cn1,-4.669,-5.02
Oc1ccc(Cl)cc1-n1ccnn1,-5.386,-6.159
COC(=O)CNCC1CC1.Cl,-4.842,-4.964
O=C(O)c1ccc([N+](=O)[O-])c(F)c1,-5.341,-6.027
COc1cc(N)c(C(=O)O)cc1Cl,-5.328,-5.631
CS(=O)(=O)N1CCC(Nc2ncnc3c2cnn3CCC#N)CC1,-6.983,-6.995
Cc1c(Cl)ccc2c1NCCC2.Cl,-5.309,-6.169
COCc1c(N)cccc1Br,-4.436,-5.135
COc1ccccc1-c1csc(NC(=O)C2CNC(=O)N2)n1,-6.979,-7.192
Cn1c(-c2ccccc2Cl)nn(CN2CCCC2c2ccccc2)c1=S,-7.145,-7.96
COc1ccc(C(=O)N2CCCS2(=O)=O)cc1OC,-5.959,-6.194
CC(N)(C(=O)O)C(F)F.Cl,-5.614,-5.062
Nc1nnc(C2CCNCC2)o1,-5.406,-5.344
NS(=O)(=O)N1CCCCCCC1,-5.455,-5.272
Cc1cc(C(=O)O)nn1C(C)(C)C,-5.138,-5.351
Cc1ccc2c(c1)NC(=O)CC2,-5.403,-5.675
Brc1ccnc(-c2ccncc2)c1,-5.018,-5.706
CC(N)C(C)(C)F.Cl,-3.678,-4.128
CC(C)NC(=O)Nc1ccccc1N,-5.52,
O=C1NC2(CCSC2)C(=O)N1CC1CCC1,-5.224,-5.485
C=C(C)CNCc1ccccc1Br,-4.291,-5.393
Cl.c1ncn(C2CC2)n1,-4.551,-5.079
Fc1cccc(NC2CCCC2)c1,-5.436,-5.519
Br.NCc1ccc(O)c(Cl)c1,-5.047,-5.5
CCCCCNCCO,-4.015,-4.272
C#CCNC(=O)c1cnc2ccccn2c1=O,-6.026,-6.461
O=C(CCl)Nc1c(F)cccc1F,-4.79,-5.421
O=C(COC(=O)c1ccc(F)cc1Cl)Nc1ccc(Cl)cc1C(F)(F)F,-7.475,-7.904
Fc1ccc(-c2cnc(S)o2)cc1,-4.92,-5.68
CCCCCCNC(=O)Nc1ccccc1S(C)(=O)=O,-6.019,-6.233
Cl.Cl.NC1CCN(C2CCOC2)CC1,-5.534,-5.906
Cl.Cl.Cn1cncc1C1CC(N)CCO1,-5.362,-5.746
Cc1nc(N(C)C)sc1Br,-3.809,-4.371
CC1CCCCC1N(C)S(C)(=O)=O,-5.154,-4.824
Cc1noc(N)c1C1(O)C(=O)N(CCC(C)C)c2ccccc21,-6.495,-6.304
O=C(COC(=O)C12CC3CC(CC(Br)(C3)C1)C2)c1cc2ccccc2o1,-6.486,-6.975
Nc1nc(-c2cccc(Cl)c2)ns1,-5.213,-5.811
Cc1cc(C)n(CC(=O)N(C)C)n1,-4.739,-5.163
Cc1ccc(Cc2nnc(C)[nH]2)cc1,-5.259,
C1COC2(CCOC2)CN1,-4.112,-4.728
CCc1nc(N)ns1,-3.723,-4.134
Cc1cc(C(=O)N(C2CC2)C2CC(=O)NC2=O)c2c(C)nn(C)c2n1,-7.207,-7.537
Cl.O=C(O)C1(CC(F)F)CCNCC1,-5.341,-5.7
CN(C)CC(O)C(F)(F)F,-4.129,-4.418
NC(=O)c1cc2cc(F)ccc2[nH]1,-5.672,-6.112
COc1ccc(S(=O)(=O)N2CCC(C)Sc3ccccc32)cc1C,-6.702,-7.16
Cl.NCCCCCC(=O)O,-4.998,-4.943
O=C(CCl)Nc1cc(F)ccc1Cl,-4.918,-5.296
Cl.Cl.NCc1cc2cccnc2cc1Br,-5.674,-6.284
O=C(CNC(=O)C1CCN(CC(F)F)CC1)c1cccs1,-6.163,-6.715
COC(=O)c1c(F)cc(N)cc1F,-5.024,-5.537
CC(F)(F)CCCN.Cl,-3.731,-4.553
O=C1COc2c(Br)cncc2N1,-5.683,-5.7
C=CCS(=O)(=O)NC(=O)c1csc(-c2ccoc2)n1,-6.203,-6.346
Cc1ccc(-c2csc3ncnc(NC(C)Cn4cncn4)c23)cc1,-6.668,-7.074
CC(Oc1ccccc1)C(=O)O,-5.01,-5.354
COc1ccnc(C(N)=O)c1,-5.126,-5.166
CCOc1[nH]nc(C)c1Br,-4.75,-5.053
O=C(Nc1cc2n(n1)CCCC2)c1occc1-c1ccccc1,-7.257,-7.169
Cn1c(C(F)(F)F)ccc(N)c1=O,-4.766,-5.433
CC(=O)c1ccc(F)cc1Cl,-4.469,-5.382
Cc1ccccc1-n1nc(C)c2c(C(=O)NN)cc(-c3ccncc3)nc21,-7.844,-7.828
CN(C)C(CNC(=O)c1cn(-c2ccccc2)nn1)c1ccccc1,-6.727,-7.409
Nc1nccc(-c2ccc(Cl)s2)n1,-4.926,-5.548
O=C(O)c1csc(-c2cccnc2)n1,-5.475,
Cn1cc(NC(=O)c2ccsc2)cn1,-5.385,-5.279
COC(=O)C1=C(C)N(C)C(=O)N(C)C1c1ccc(C(=O)OC)cc1,-6.867,-6.775
COC1CCN(C(=O)CCc2c(C)[nH]c(=O)c(C#N)c2C)CC1,-6.927,-7.353
COc1ccc2c(c1)OCC(C=C1N=C(c3ccccc3F)OC1=O)=C2,-8.465,-8.052
COC(=O)C1CC2CCCCC2N1.Cl,-5.3,-5.766
Oc1n[nH]cc1-c1ccccc1,-5.728,-5.579
COc1cc(C)ccc1OCC(=O)O,-5.078,-5.104
O=S(=O)(Cl)c1c(Cl)cccc1Cl,-5.049,-5.548
CN(Cc1ccc2c(c1)OCO2)Cc1nnsc1Cl,-6.165,-6.105
Cl.OC1(c2ccccc2)CCCNC1,-5.532,-6.008
CCC(CC)SCC(=O)NC1CC1,-4.367,-4.666
OC1COc2cc(Cl)ccc21,-4.787,-5.329
COc1ccc(CC(C)N(C)C(=O)CCCn2cncn2)cc1,-6.123,-6.413
CC(C)(C)OC(=O)Nc1ccoc1,-4.8,-4.702
BrCC1CCCO1,-3.378,-3.722
Cl.O=C(O)C1CCNCC1F,-5.162,-5.391
NC(=O)C1COc2ccccc2C1,-6.006,-5.995
CCCCCS(N)(=O)=O,-4.342,-4.147
Nc1cc(CCc2ccccc2)no1,-5.714,
CCc1ccc(Cn2nnc(C(=O)NCC(O)C(C)C)c2C)cc1,-6.587,-7.088
CC(C)(C)NC(=O)CN.Cl,-4.277,-5.112
O=C(NC(=S)NCC1CCCO1)c1cccs1,-5.64,-5.624
O=C(Nc1ccccn1)C1CC(c2ccncc2)=NO1,-6.554,-6.835
COc1c(CCN)ccc(C)c1C.Cl,-4.916,-5.976
Cc1cc(C#N)c([N+](=O)[O-])cc1C,-5.56,-6.196
N#Cc1ccc(S(=O)(=O)Nc2cccc(O)c2)c(F)c1,-6.974,-7.127
Cc1cc(SCC(=O)O)c(C)cc1Br,-5.402,-6.112
Cc1cc(CNC(=O)c2ccc(-c3ccco3)[nH]c2=O)no1,-7.291,-7.365
CC(=O)c1ccc(NC(=O)C2(S(=O)(=O)c3ccccc3)CCCC2)cc1,-7.03,-7.11
CCOC(=O)C(C)C(=O)OCC,-4.458,-4.452
COC(=O)C1COCC(C)(C)N1.Cl,-5.111,-5.457
CS(=O)(=O)NC(=O)c1cocn1,-4.669,-5.02
O=C(OC(c1ccc(F)cc1)c1ccc(F)cc1)c1cc(-c2ccco2)nc2ccccc12,-8.296,-8.383
Nc1nnc(-c2ccccn2)[nH]1,-5.421,-5.496
Cl.NCC1OCc2ccccc21,-5.068,-5.88
Cl.Nc1ccnn1CC(=O)O,-5.423,-5.085
CNCc1cccc(F)c1F.Cl,-4.99,-5.769
Clc1cncc(SC2CCCC2)n1,-4.983,-5.545
CNCC1CN(C)CCO1,-4.182,-4.232
CN(C)C(=O)NCC(C)(O)C(=O)O,-5.359,-4.987
N#Cc1ccc2ncccc2c1,-5.23,-5.762
CC(CN)COCc1ccccc1.Cl,-5.091,-6.244
CC1(C(=O)O)CCOC1,-4.649,-4.258
COCc1ncc(N)c(C)n1.Cl,-4.82,-5.148
NCCOCCCC(=O)O.O=C(O)C(F)(F)F,-6.234,-7.06
CCn1cc([C@@H]2NC(=O)CC[C@H]2Nc2ccnc(Cc3ccccc3)n2)cn1,-7.3,-8.04
COCC(=O)NNC(=O)CCl,-4.692,-4.57
CC1CSc2ccccc2N1,-4.733,-5.448
O=C(OC(c1ccccc1)c1nccc2ccccc12)c1ccc(F)cc1,-7.145,-7.799
O=C(O)c1ccc(-c2nnco2)cc1,-5.526,-5.816
CCC(=O)c1ccccc1Br,-4.405,-5.28
c1csc(CCNC2=NN=C(c3ccc4c(c3)OCO4)CS2)c1,-6.703,-7.121
N#CC(=Cc1cccc2c1OCO2)C(=O)Nc1cccc2ccccc12,-7.805,-8.823
Cn1cc(CC2CCNC2)cn1,-4.687,-5.265
N#Cc1ccc(N2CCN(c3nc4ccccc4[nH]3)CC2)nc1,-6.792,-7.964
CCOC(=O)c1ccoc1Cn1cnc(C#N)n1,-5.784,-5.935
Cc1cccn2c(CNCc3ccc(F)c(Cl)c3)cnc12,-6.703,-7.603
Cc1c(C)n2c3c(=O)n(CCc4ccccc4)c(=O)n(C)c3nc2n1CCO,-7.555,-7.751
N#Cc1ncn(CC(=O)c2c[nH]c(C(=O)N3CCCC3)c2)n1,-7.039,-7.739
O=C(O)CSCc1cccnc1,-4.776,-5.107
Sc1nc(-c2ccccc2Br)nn1CN1CCN(Cc2ccccn2)CC1,-7.172,-7.682
CNC(=O)c1ccc(F)cc1F,-4.921,-5.67
O=C(CCl)NCc1ccsc1,-4.313,-4.675
Cc1ccccc1-c1cc(NC(=O)c2ccc(Br)o2)n(C)n1,-6.715,-7.64
CNc1ccccc1C#N,-4.319,-5.17
CC1(NCc2ccsc2)CCC1,-4.335,-4.815
O=[N+]([O-])c1ccc(Oc2ncnc3c2CCC3)cc1Cl,-6.551,-6.883
COC1CCC(C(=O)O)CC1,-4.714,-5.235
CCNC(=S)Nc1cccc(C)n1,-4.799,-5.431
COCCC(N)=O,-4.024,-3.607
CC1CCCCC1NC1=NCCS1,-4.75,-5.184
O=Cc1cccc(C(F)(F)F)c1,-4.887,-5.539
Cl.NC1(c2ccc(Br)s2)CC1,-4.702,-5.017
CNC(=O)CCOc1ccccc1,-4.805,-5.615
COc1ccc2c(c1)CCCCN2,-5.078,-5.446
CCNC(=O)N(C)C(C)C(C)(C)C,-4.441,-4.645
COc1ccc(C2C3=C(CCCC3=O)Nc3onc(C)c32)cc1OC,-6.705,-7.231
O=C(NCc1cccc(Cl)c1Cl)c1cnns1,-5.983,-6.267
Cl.NC1(c2cc(F)cc(Br)c2)CC1,-5.01,-5.843
Cn1cc(C(=O)N2CC=C(c3c[nH]c4ccccc34)CC2)cn1,-7.245,-8.211
O=C(c1snc(O)c1Cl)N1CCCN(c2ccccc2F)CC1,-7.337,-7.736
Cc1cccc(C(=O)O)c1NC(=O)c1cnn(Cc2ccccc2)c1,-7.619,-8.307
N#Cc1ccccc1NC(=O)Nc1cccc(O)c1,-6.755,-7.645
NC(c1ccc(Br)cc1)P(=O)(O)O,-5.226,-5.27
CCOC1CC(N(C)C(=O)c2ccc3c(c2)OCO3)C12CCC2,-6.6,-6.706
